Score Crédito,Estado,Gênero,Idade,Tempo como cliente (meses),Saldo,Número de produtos,Possui Cartao de Crédito,Assina mensalidade,Renda Mensal Presumida (R$),Churn_2_meses
619,São Paulo,Feminino,42,2,0.0,1,1,1,4222.87,1
608,Rio de Janeiro,Feminino,41,1,83807.86,1,0,1,4689.274166666667,0
502,São Paulo,Feminino,42,8,159660.8,3,1,0,4747.14875,1
699,São Paulo,Feminino,39,1,0.0,2,0,0,3909.442916666667,0
850,Rio de Janeiro,Feminino,43,2,125510.82,1,1,1,3295.1708333333336,0
645,Rio de Janeiro,Masculino,44,8,113755.78,2,1,0,6239.862916666666,1
822,São Paulo,Masculino,50,7,0.0,2,1,1,419.2833333333333,0
376,Minas Gerais,Feminino,29,4,115046.74,4,1,0,4972.786666666667,1
501,São Paulo,Masculino,44,4,142051.07,2,0,1,3122.520833333333,0
684,São Paulo,Masculino,27,2,134603.88,1,1,1,2988.572083333333,0
528,São Paulo,Masculino,31,6,102016.72,2,0,0,3340.88,0
497,Rio de Janeiro,Masculino,24,3,0.0,2,1,0,3182.9170833333333,0
476,São Paulo,Feminino,34,10,0.0,2,1,0,1094.2075,0
549,São Paulo,Feminino,25,5,0.0,2,0,0,7952.407916666668,0
635,Rio de Janeiro,Feminino,35,7,0.0,2,1,1,2747.9854166666664,0
616,Minas Gerais,Masculino,45,3,143129.41,2,0,1,2680.3025,0
653,Minas Gerais,Masculino,58,1,132602.88,1,1,0,212.40291666666667,1
549,Rio de Janeiro,Feminino,24,9,0.0,2,1,1,600.2670833333333,0
587,Rio de Janeiro,Masculino,45,6,0.0,1,0,0,6611.8670833333335,0
726,São Paulo,Feminino,24,6,0.0,2,1,1,2280.1679166666668,0
732,São Paulo,Masculino,41,8,0.0,2,1,1,7120.257083333334,0
636,Rio de Janeiro,Feminino,32,8,0.0,2,1,0,5773.144166666666,0
510,Rio de Janeiro,Feminino,38,4,0.0,1,1,0,4954.730416666666,1
669,São Paulo,Masculino,46,3,0.0,2,0,1,353.65625,0
846,São Paulo,Feminino,38,5,0.0,1,1,1,7817.34,0
577,São Paulo,Masculino,25,3,0.0,2,0,1,5187.845416666666,0
756,Minas Gerais,Masculino,36,2,136815.64,1,1,1,7085.08125,0
571,São Paulo,Masculino,44,9,0.0,2,0,0,1601.3895833333331,0
574,Minas Gerais,Feminino,43,3,141349.43,1,1,1,4174.47625,0
411,São Paulo,Masculino,29,0,59697.17,2,1,1,2228.467083333333,0
591,Rio de Janeiro,Feminino,39,3,0.0,3,1,0,5852.890833333334,1
533,São Paulo,Masculino,36,7,85311.7,1,0,1,6530.49625,0
553,Minas Gerais,Masculino,41,9,110112.54,2,0,0,3412.450416666666,0
520,Rio de Janeiro,Feminino,42,6,0.0,2,1,1,1433.7729166666668,0
722,Rio de Janeiro,Feminino,29,9,0.0,2,1,1,5918.044583333332,0
475,São Paulo,Feminino,45,0,134264.04,1,1,0,1159.29125,1
490,Rio de Janeiro,Masculino,31,3,145260.23,1,0,1,4752.7820833333335,0
804,Rio de Janeiro,Masculino,33,7,76548.6,1,0,1,4102.227083333333,0
850,São Paulo,Masculino,36,7,0.0,1,1,1,1700.5375,0
582,Minas Gerais,Masculino,41,6,70349.48,2,0,1,7419.751666666668,0
472,Rio de Janeiro,Masculino,40,4,0.0,1,1,0,2923.0925,0
465,São Paulo,Feminino,51,8,122522.32,1,0,0,7554.0687499999985,1
556,São Paulo,Feminino,61,2,117419.35,1,1,1,3923.07625,0
834,São Paulo,Feminino,49,2,131394.56,1,0,0,8098.573333333334,1
660,Rio de Janeiro,Feminino,61,5,155931.11,1,1,1,6597.432916666668,0
776,Minas Gerais,Feminino,32,4,109421.13,2,1,1,5271.560833333334,0
829,Minas Gerais,Feminino,27,9,112045.67,1,1,1,4987.842083333334,1
637,Minas Gerais,Feminino,39,9,137843.8,1,1,1,4900.95,1
550,Minas Gerais,Masculino,38,2,103391.38,1,0,1,3786.58875,0
776,Minas Gerais,Feminino,37,2,103769.22,2,1,0,8087.463333333332,0
698,Minas Gerais,Masculino,44,10,116363.37,2,1,0,8252.465,0
585,Minas Gerais,Masculino,36,5,146050.97,2,0,0,3601.0237500000007,0
788,São Paulo,Feminino,33,5,0.0,2,0,0,4874.09125,0
655,Minas Gerais,Masculino,41,8,125561.97,1,0,0,6835.0391666666665,1
601,Minas Gerais,Masculino,42,1,98495.72,1,1,0,1667.281666666667,1
619,São Paulo,Masculino,43,1,125211.92,1,1,1,4725.437083333333,0
656,São Paulo,Masculino,45,5,127864.4,1,1,0,3629.482083333334,0
725,Minas Gerais,Masculino,19,0,75888.2,1,0,0,1900.572916666667,0
511,Rio de Janeiro,Feminino,66,4,0.0,1,1,0,68.46291666666666,1
614,São Paulo,Masculino,51,4,40685.92,1,1,1,1948.97,0
742,Minas Gerais,Masculino,35,5,136857.0,1,0,0,3521.232083333334,0
687,Minas Gerais,Feminino,27,9,152328.88,2,0,0,5270.6175,0
555,Rio de Janeiro,Masculino,33,1,56084.69,2,0,0,7449.922083333334,0
684,Rio de Janeiro,Masculino,56,8,78707.16,1,1,1,4141.598333333333,0
603,Minas Gerais,Masculino,26,4,109166.37,1,1,1,3868.36125,0
751,Minas Gerais,Feminino,36,6,169831.46,2,1,1,1156.5983333333334,0
581,Minas Gerais,Feminino,34,1,101633.04,1,1,0,4601.312916666667,0
735,Minas Gerais,Masculino,43,10,123180.01,2,1,1,8194.72,0
661,Minas Gerais,Feminino,35,5,150725.53,2,0,1,4735.702083333334,0
675,São Paulo,Feminino,21,8,98373.26,1,1,0,758.4583333333335,0
738,Minas Gerais,Masculino,58,2,133745.44,4,1,0,1182.2441666666666,1
813,São Paulo,Masculino,29,6,0.0,1,1,0,1414.7445833333334,0
657,Rio de Janeiro,Feminino,37,0,163607.18,1,0,1,1841.814583333333,0
604,Minas Gerais,Feminino,25,5,157780.84,2,1,1,2434.4504166666666,0
519,São Paulo,Masculino,36,9,0.0,2,0,1,6065.0999999999985,0
735,São Paulo,Feminino,21,1,178718.19,2,1,0,932.8333333333335,0
664,São Paulo,Masculino,55,8,0.0,2,1,1,5798.401666666668,0
678,São Paulo,Feminino,32,9,0.0,1,1,1,6175.443333333334,0
757,Rio de Janeiro,Masculino,33,5,77253.22,1,0,1,8093.317916666668,0
416,Minas Gerais,Feminino,41,10,122189.66,2,1,0,4095.900416666667,0
665,São Paulo,Feminino,34,1,96645.54,2,0,0,7142.235833333332,0
777,São Paulo,Feminino,32,2,0.0,1,1,0,5685.7579166666665,1
543,São Paulo,Feminino,36,3,0.0,2,0,0,1084.1495833333333,0
506,São Paulo,Feminino,34,4,90307.62,1,1,1,6634.80375,0
493,São Paulo,Feminino,46,4,0.0,2,1,0,79.48583333333333,0
652,Rio de Janeiro,Feminino,75,10,0.0,2,1,1,4778.15625,0
750,Rio de Janeiro,Masculino,22,3,121681.82,1,1,0,5360.139583333334,1
729,São Paulo,Masculino,30,9,0.0,2,1,0,6327.889583333334,0
646,São Paulo,Feminino,46,4,0.0,3,1,0,3885.475833333333,1
635,Minas Gerais,Feminino,28,3,81623.67,2,1,1,6532.973333333332,0
647,Rio de Janeiro,Feminino,44,5,0.0,3,1,1,7258.550833333334,1
808,São Paulo,Masculino,45,7,118626.55,2,1,0,6130.519166666666,0
524,São Paulo,Feminino,36,10,0.0,2,1,0,4567.27375,0
769,São Paulo,Masculino,29,8,0.0,2,1,1,7178.775416666666,0
730,Rio de Janeiro,Masculino,42,4,0.0,2,0,1,3582.6029166666667,0
515,Rio de Janeiro,Masculino,35,10,176273.95,1,0,1,5053.240833333333,0
773,Rio de Janeiro,Masculino,41,9,102827.44,1,0,1,2691.46875,0
